Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_MLC,RT_LMP,RT_EC,SYSLoad,RegCP
1,1,10706,12094,40.87,40.09,0.78,31.78,31.51,12230,59
1,2,10235,11390,38.97,38.22,0.75,37.37,36.96,11534,42
1,3,9926,10883,35.93,35.23,0.7,25.65,25.36,11038,65.68
1,4,9736,10644,34.79,34.11,0.68,29.25,28.9,10777,67.07
1,5,9742,10633,34.79,34.11,0.68,26.03,25.73,10764,67.07
1,6,9992,10891,35.39,34.7,0.69,21.61,21.33,11032,48
1,7,10998,11376,38.97,38.21,0.76,21.64,21.4,11508,44
1,8,11717,11677,40.76,39.96,0.8,20.91,20.67,11806,46
1,9,12855,12310,42.11,41.29,0.82,26,25.65,12457,66.53
1,10,13079,13071,44.26,43.39,0.87,35.5,35.08,13214,64.66
1,11,13741,13658,46.38,45.48,0.9,41.59,41.1,13783,62.81
1,12,13657,14015,46.17,45.28,0.89,42.59,42.1,14156,62.99
1,13,13254,14018,45.23,44.36,0.87,39.93,39.48,14182,63.81
1,14,12931,13826,43.9,43.06,0.84,29.1,28.78,13988,64.97
1,15,12857,13591,41.58,40.78,0.8,32.4,32,13727,65.71
1,16,13178,13716,44.62,43.76,0.86,38.11,37.64,13856,64.35
1,17,14704,15053,59.77,58.6,1.17,58.91,58.18,15215,49
1,18,15202,16421,80.47,78.91,1.56,68.83,68.09,16593,51
1,19,15209,16324,80.47,78.92,1.55,58.16,57.44,16483,63.69
1,20,15114,15969,61.65,60.47,1.18,54.32,53.58,16135,60.03
1,21,14585,15484,57.08,55.98,1.1,45.26,44.72,15681,40
1,22,13720,14700,47.53,46.62,0.91,44.03,43.53,14872,65
1,23,12485,13567,41.58,40.79,0.79,29.45,29.11,13769,53
1,24,10926,12466,40.71,39.93,0.78,38.52,38.09,12640,55
2,1,11273,11603,44.62,43.8,0.82,35.93,35.58,11728,65.71
2,2,11121,11153,41.59,40.81,0.78,25.46,25.19,11275,66.84
2,3,10930,10968,41.38,40.6,0.78,28.51,28.19,11083,67.02
2,4,10878,10952,41.38,40.6,0.78,33.79,33.41,11071,67.02
2,5,11143,11178,41.58,40.79,0.79,25.43,25.11,11304,66.85
2,6,11402,11919,41.38,40.6,0.78,32.59,32.13,12053,53
2,7,13259,13212,45.71,44.87,0.84,36.08,35.59,13372,65.03
2,8,14545,14472,53.68,52.69,0.99,48.13,47.54,14656,64
2,9,14895,15451,65.04,63.85,1.19,56.19,55.55,15658,55.03
2,10,15062,16252,69.6,68.33,1.27,70.31,69.53,16472,43.32
2,11,15207,16679,66.07,64.86,1.21,61.43,60.69,16889,64
2,12,15233,16799,66.4,65.18,1.22,70.53,69.68,17015,41.36
2,13,15197,16633,52.64,51.68,0.96,70.33,69.52,16869,52
2,14,15241,16368,50.74,49.66,0.91,52.58,51.82,16595,60
2,15,15094,16189,47.67,46.8,0.87,45.42,44.78,16387,51
2,16,15246,16233,47.68,46.81,0.87,45.06,44.48,16414,45.32
2,17,16415,17109,69.56,68.28,1.28,59.03,58.27,17327,44.7
2,18,17051,17925,87.37,82.76,1.55,69.76,68.93,18164,63.69
2,19,17008,17576,80.7,77.19,1.46,51.72,51.09,17766,56.59
2,20,16685,16960,77.02,72.16,1.35,50.4,49.75,17144,52.8
2,21,15737,16285,56.62,54.58,1.02,45.89,45.28,16461,42.08
2,22,14841,15382,51.75,50.81,0.94,46.51,45.92,15562,65.21
2,23,13399,14197,45.71,44.89,0.82,44.67,44.14,14357,65.03
2,24,11774,12929,44.62,43.81,0.81,46.55,46.1,13086,65.71
3,1,10920,11888,41.25,40.52,0.73,44.83,44.51,12017,62.88
3,2,10376,11244,39.87,39.15,0.72,33.19,32.93,11362,60.2
3,3,10224,10901,38.34,37.64,0.7,26.99,26.7,11030,59.61
3,4,10182,10751,37.79,37.1,0.69,30.15,29.83,10886,60.29
3,5,10231,10790,37.68,36.99,0.69,23.35,23.1,10929,60.44
3,6,10416,11132,38.24,37.53,0.71,29.28,28.95,11279,65.76
3,7,11180,11806,40.76,40.03,0.73,29.45,29.02,11965,63.35
3,8,12503,12693,41.42,40.67,0.75,25.26,24.85,12862,62.72
3,9,13473,13783,45.8,44.97,0.83,42.48,41.86,13957,59.13
3,10,14098,14787,47.86,46.99,0.87,51.68,50.94,14980,59.6
3,11,14100,15377,49.79,48.89,0.9,49.45,48.76,15575,60.89
3,12,14099,15525,49.1,48.22,0.88,61.42,60.52,15730,59.77
3,13,13861,15398,46.74,45.9,0.84,51.72,50.95,15580,55.99
3,14,13494,15086,46.24,45.42,0.82,47.89,47.19,15275,55.17
3,15,13087,14778,45.06,44.25,0.81,47.25,46.52,14963,56.04
3,16,13313,14733,45.8,44.97,0.83,46.96,46.25,14902,59.16
3,17,14599,15696,61.5,60.38,1.12,65.11,64.23,15892,52
3,18,15306,16571,72.18,70.86,1.32,78.02,77.11,16778,59
3,19,15198,16353,67.77,66.55,1.22,55.91,55.24,16532,60
3,20,15129,15817,57.45,56.42,1.03,47.66,47.01,15977,67
3,21,14560,15268,51.19,50.28,0.91,52.46,51.68,15454,62.83
3,22,13497,14474,46.72,45.9,0.82,47.94,47.25,14660,60.02
3,23,12148,13416,43.93,43.16,0.77,33.09,32.65,13588,66.36
3,24,10898,12248,43.15,42.38,0.77,39.62,39.1,12416,65.17
4,1,10396,11225,39.23,38.55,0.68,27.41,27.15,11354,64
4,2,10077,10593,35.33,34.72,0.61,29.83,29.52,10710,66.27
4,3,9700,10215,33.89,33.31,0.58,24.1,23.86,10350,47
4,4,9702,10047,33.89,33.31,0.58,22.03,21.81,10175,52
4,5,9816,10033,33.41,32.83,0.58,21.51,21.29,10148,44
4,6,10011,10249,34,33.41,0.59,22.5,22.26,10365,47
4,7,10596,10755,36.76,36.11,0.65,26.69,26.38,10885,56
4,8,10764,11279,39.8,39.11,0.69,28.42,28.06,11406,41
4,9,12425,12148,41.22,40.49,0.73,27.14,26.76,12297,66.85
4,10,13393,13053,45.84,45.03,0.81,33.52,33.05,13204,63.32
4,11,13615,13712,46.76,45.94,0.82,46.46,45.76,13910,59.68
4,12,13860,14138,47.25,46.42,0.83,46.96,46.25,14310,57.8
4,13,13474,14376,46.76,45.95,0.81,46.86,46.15,14559,59.68
4,14,12915,14398,44.98,44.2,0.78,47.1,46.39,14582,63.54
4,15,12780,14444,43.8,43.04,0.76,47.07,46.35,14629,64.58
4,16,13249,14672,45.32,44.53,0.79,48.79,48.05,14856,63.23
4,17,14869,15790,60.12,59.07,1.05,67.97,67.06,16003,59
4,18,15753,16830,74.04,72.75,1.29,72.84,71.96,17048,66.76
4,19,15288,16712,65.92,64.77,1.15,54.69,53.9,16896,43
4,20,15298,16249,62.15,61.08,1.07,49.91,49.15,16427,58
4,21,14660,15609,55.31,54.36,0.95,48.3,47.61,15797,58
4,22,13710,14542,46.76,45.97,0.79,40.95,40.38,14734,62.01
4,23,12446,13243,43.18,42.45,0.73,25.86,25.52,13403,66.97
4,24,11317,12080,40.79,40.09,0.7,32.37,31.94,12263,60
5,1,10740,11272,36.76,36.16,0.6,27.83,27.48,11444,55.78
5,2,10608,10865,35,34.41,0.59,25.39,25.06,11045,57.27
5,3,10617,10722,33.88,33.31,0.57,32.07,31.63,10895,58.26
5,4,10615,10726,33.7,33.13,0.57,24.32,23.99,10908,58.42
5,5,10874,11109,33.36,32.79,0.57,30.71,30.31,11310,58.72
5,6,11538,12391,41.79,41.09,0.7,46.75,46.12,12582,51.26
5,7,13523,14671,46.79,45.89,0.77,53.3,52.54,14895,49.21
5,8,15026,16314,57.27,56.34,0.93,66.75,65.75,16562,59.24
5,9,15790,16774,59.51,58.54,0.97,58.59,57.42,16988,56.51
5,10,16098,17093,59.87,57.81,0.95,57.44,56.26,17324,52
5,11,16159,17354,59.87,57.8,0.95,60.51,59.19,17618,49
5,12,16153,17485,59.87,57.8,0.95,62.81,61.46,17778,65
5,13,15974,17467,59.87,57.8,0.95,60.57,59.25,17734,63
5,14,15934,17465,59.87,57.8,0.95,61.71,60.3,17732,52
5,15,15826,17365,57.24,55.62,0.92,56.85,55.56,17607,50
5,16,16045,17559,57.24,55.61,0.92,56.42,55.12,17800,55
5,17,17299,18557,63.44,62.4,1.04,74.28,72.66,18840,42
5,18,18233,19307,81.27,79.94,1.34,64.83,63.48,19579,57
5,19,17916,19042,75,73.77,1.23,61.4,60.12,19319,55.99
5,20,17423,18422,64.72,63.28,1.05,60.01,58.68,18725,61
5,21,16839,17580,59.85,58.31,0.97,49.06,47.9,17865,43
5,22,15439,16342,60.81,59.83,0.98,47.03,45.98,16581,51.73
5,23,14353,14706,49.12,48.33,0.79,45.29,44.34,14903,55.83
5,24,12457,13257,41.45,40.78,0.67,26.25,25.73,13429,51.58
6,1,11724,12260,44.9,44.25,0.65,36.71,35.92,12496,58.41
6,2,11279,11793,43.11,42.47,0.64,38.18,37.42,12000,58.59
6,3,11139,11593,41.48,40.86,0.62,25.08,24.59,11781,60.16
6,4,11179,11590,41.48,40.86,0.62,35.64,34.93,11788,60.16
6,5,11276,11951,43.71,43.06,0.65,42.97,42.1,12145,58.02
6,6,12030,13155,50.38,49.65,0.73,46.62,45.69,13354,53.56
6,7,13819,15440,55,54.21,0.77,55.91,54.68,15630,49.48
6,8,15397,16708,66.12,65.21,0.91,56.24,54.98,16950,59.13
6,9,16075,16814,64.68,63.8,0.88,45.74,44.79,17031,42
6,10,16516,16866,62.83,61.97,0.86,43.2,42.29,17043,44
6,11,16452,17041,63.23,61.67,0.86,51.01,49.98,17261,48
6,12,16368,16948,60.57,59.16,0.82,56.3,55.1,17223,41
6,13,16376,16733,58.62,57.48,0.8,50.9,49.79,16957,43
6,14,16058,16642,55.75,55.45,0.77,47.9,46.85,16846,65
6,15,15970,16480,54.27,53.86,0.74,35.31,34.54,16675,51
6,16,16195,16644,56.98,56.56,0.78,48.22,47.17,16888,47.66
6,17,17379,17830,67.75,66.8,0.95,56.41,55.13,18068,44
6,18,18331,19302,82.37,81.67,1.16,66.7,65.1,19548,48
6,19,17998,19280,78.94,78.63,1.11,61.08,59.59,19527,46.12
6,20,17996,18933,69.81,68.32,0.96,60.91,59.33,19180,49
6,21,17235,18329,64.53,62.87,0.89,57.83,56.35,18572,60
6,22,16428,17179,58.43,57.24,0.8,43.34,42.33,17371,52.16
6,23,14763,15558,51.49,50.77,0.7,21.15,20.68,15754,50.56
6,24,12995,14157,45,44.38,0.61,22.06,21.55,14315,56.78
7,1,13250,13262,47.44,46.74,0.69,24.14,23.62,13415,47.9
7,2,12888,12836,45.85,45.17,0.68,25.4,24.89,12990,45
7,3,12608,12676,45.16,44.48,0.68,22.57,22.12,12832,64
7,4,12651,12714,45.16,44.48,0.68,22,21.56,12866,63
7,5,13129,13075,47.72,47,0.71,22.88,22.4,13233,46
7,6,14571,14308,52.66,51.92,0.78,44.95,43.9,14495,45
7,7,16284,16661,62.8,61.88,0.9,61.85,60.38,16855,54
7,8,17866,18036,73.91,73.58,1.07,71.43,69.85,18233,60.1
7,9,17820,18183,72.45,73.85,1.05,64.48,63.11,18421,57.97
7,10,17754,18175,72.32,74.14,1.06,61.74,60.37,18417,51
7,11,17727,18264,72.37,74.21,1.07,66.71,66.54,18532,67
7,12,17497,18247,71.41,72.83,1.05,60.98,59.94,18503,58
7,13,17372,18130,69.62,71.38,1.03,59.63,58.37,18356,56
7,14,17081,18077,67,68.37,0.97,62.79,61.43,18302,56
7,15,16947,17965,65.45,66.49,0.96,62.1,60.67,18205,44
7,16,17088,18109,66.38,67.43,0.96,59.03,57.71,18326,56
7,17,18527,19163,78.18,76.99,1.13,66.82,65.19,19397,58
7,18,19118,20522,95.09,94.86,1.39,77.52,75.64,20786,67
7,19,19115,20418,94.26,94.34,1.38,74.37,72.47,20668,44.1
7,20,18742,19969,87.98,88.86,1.28,72.78,70.87,20206,41.45
7,21,18068,19295,76.21,74.8,1.08,66.76,65,19522,52
7,22,17141,18072,69.52,68.51,0.99,46.17,44.99,18295,56.23
7,23,15830,16387,61.26,60.34,0.86,37.62,36.7,16598,53.02
7,24,13790,14955,54.1,53.32,0.78,35.75,35.03,15138,57.44
8,1,13303,14021,50.06,49.95,0.78,44.27,43.43,14186,47.58
8,2,13048,13596,49.02,48.73,0.77,43.73,42.95,13757,41
8,3,12959,13441,48.06,47.79,0.76,35.63,35,13593,62
8,4,12968,13459,48,47.73,0.77,42.33,41.59,13612,52
8,5,13324,13790,49.91,49.72,0.8,50.45,49.62,13963,59
8,6,14257,14990,56.44,56.18,0.9,53.06,52.05,15158,45
8,7,17073,17339,65.58,65.04,1.01,68.2,66.73,17498,63
8,8,18247,18723,73.16,74.27,1.15,70.2,68.66,18924,40.71
8,9,18292,18815,72.74,73.92,1.12,66.91,65.5,19042,40.05
8,10,18202,18849,72.39,73.59,1.12,58.06,56.84,19072,60
8,11,18115,18831,72.41,73.59,1.12,58.78,57.56,19063,48
8,12,17486,18706,70.57,71.92,1.09,52.44,51.28,18934,46
8,13,17413,18473,69.1,70.41,1.07,60.32,58.91,18694,44
8,14,17402,18317,67.03,68.13,1.04,60.78,59.38,18543,50
8,15,17310,18150,65.62,66.13,1.01,53.56,52.36,18381,60
8,16,17592,18258,65.86,66.4,1.01,65.82,64.44,18447,57
8,17,19171,19375,78,78.42,1.2,68.55,67.09,19587,55
8,18,19640,20755,97.89,98.98,1.52,92.58,90.35,20991,60.6
8,19,19549,20735,97.74,99.45,1.52,90.95,89.1,20978,60.39
8,20,19406,20271,87.8,89.62,1.37,77.84,76.19,20458,62.69
8,21,18923,19565,76.52,77.13,1.17,74.53,72.85,19800,46
8,22,17505,18392,69.04,68.6,1.03,68.33,66.79,18602,51
8,23,15861,16824,61.71,61.23,0.92,44.02,42.99,17094,53.74
8,24,14407,15385,52.5,51.72,0.78,28.78,28.1,15565,61.61
9,1,13725,14453,53.18,52.29,0.89,54.49,53.29,14592,54.15
9,2,13318,14024,51,50.14,0.86,59.85,58.64,14199,62
9,3,13389,13879,50,49.15,0.85,54.16,53.06,14064,63
9,4,13461,13906,50,49.15,0.85,39.78,38.98,14088,64
9,5,13807,14322,51.13,50.26,0.87,52.86,51.84,14488,54
9,6,14769,15531,57.21,56.25,0.96,65.12,63.88,15661,61.09
9,7,16873,17927,70,69.73,1.18,105.45,103.5,18103,58
9,8,17769,19400,86.86,87.82,1.49,126.78,124.42,19616,44
9,9,17739,19616,85.65,85.3,1.44,101.18,101.11,19871,40
9,10,17954,19731,86.17,85.75,1.44,108.13,107.83,19953,50.7
9,11,17772,19803,87.01,86.4,1.46,92.43,90.67,20015,58.68
9,12,17657,19704,79,79.19,1.32,88.79,87.03,19922,40.89
9,13,17544,19452,77.67,77.97,1.32,88.5,86.74,19678,65
9,14,17490,19248,77,77.38,1.29,79.56,78.06,19467,57
9,15,17453,19014,75.18,74.73,1.26,69.11,67.82,19239,65
9,16,17646,19064,76.76,76.11,1.28,76.9,75.49,19297,43
9,17,18836,20005,87.26,86.65,1.47,104.19,102.38,20238,53
9,18,19512,21202,108.31,106.97,1.82,127.08,126.21,21471,57
9,19,19503,21102,106.18,105.55,1.77,99.22,98.6,21334,44
9,20,19104,20592,96.35,94.82,1.59,74.64,73.27,20846,55
9,21,18368,20006,87.21,86.63,1.45,89.3,87.56,20232,52.12
9,22,17307,19093,76.48,75.22,1.26,95.12,93.13,19316,59
9,23,15426,17806,72.63,73.59,1.22,74.62,73.01,18006,63.69
9,24,13775,16529,58.78,57.82,0.96,65.9,64.52,16735,58
10,1,13991,15563,63.73,63.59,1.19,62.64,61.35,15746,59.36
10,2,13888,15028,60.57,59.89,1.13,76.66,75.09,15199,51
10,3,13802,14752,60,59.26,1.12,78.15,76.43,14965,40
10,4,13784,14683,58.24,57.33,1.09,69.69,68.16,14898,54
10,5,13850,14784,60,59.18,1.13,66.63,65.35,14975,49
10,6,14091,15209,60.13,59.93,1.12,60.11,58.9,15399,61.56
10,7,14748,16069,63.99,64.05,1.19,62.42,61.05,16278,44
10,8,16017,16969,65.18,65.45,1.22,63.87,62.51,17153,43.94
10,9,17057,18085,74.26,74.42,1.39,78.47,76.62,18304,41.2
10,10,17667,18810,79.5,81.23,1.52,90.77,88.55,19070,44
10,11,17741,19090,84.32,85.5,1.6,93.3,91.13,19340,59
10,12,17690,18981,80.94,82.51,1.54,75.86,75.01,19218,41
10,13,17297,18589,73.31,73.45,1.4,72.6,72.34,18843,61
10,14,17292,18151,69.78,70.61,1.32,66.69,66.17,18373,43
10,15,17064,17846,68.09,68.86,1.29,65.32,64.12,18057,42
10,16,17234,17861,67.6,68.41,1.29,71.96,70.6,18074,51
10,17,17945,18928,84.5,83.69,1.58,108.97,106.78,19129,52
10,18,18649,20342,102.89,102.28,1.94,203.13,210.22,20588,58.39
10,19,18545,20317,98.9,98.75,1.84,122.28,138.6,20555,52.53
10,20,18298,19838,92.82,93.33,1.74,94.79,93.37,20068,46.11
10,21,17816,19250,81.66,81.13,1.5,86.21,84.86,19458,57
10,22,16973,18487,73.4,73.79,1.35,70.31,69.18,18692,63
10,23,15911,17467,67.46,66.25,1.21,52.17,51.29,17688,51.98
10,24,14089,16448,67.12,67.71,1.24,57.65,56.67,16623,45
11,1,13922,15412,61.22,60.01,1.21,63.72,62.56,15587,56.26
11,2,13755,14787,57.83,56.69,1.14,54.35,53.4,14965,61
11,3,13749,14487,57.83,56.67,1.16,59.3,58.27,14680,46
11,4,13730,14364,57.35,56.2,1.15,68.58,67.43,14571,43
11,5,13760,14405,57.83,56.67,1.16,60.5,59.47,14601,43
11,6,14066,14656,57.89,56.73,1.16,55.67,54.69,14880,50.6
11,7,14756,15190,66.35,66.01,1.33,50.83,49.91,15375,55.21
11,8,15525,15772,64.2,63.96,1.29,35.93,35.28,15948,58.65
11,9,16705,16679,68.38,68.64,1.39,52.88,51.89,16925,51.99
11,10,17207,17439,76.22,76.09,1.55,63.6,62.52,17669,42.43
11,11,17419,17827,78.27,77.93,1.58,57.7,56.68,18057,53
11,12,17075,17844,71.81,70.38,1.43,63.23,62.13,18059,44
11,13,16834,17687,70.23,68.84,1.39,58.37,57.39,17898,63
11,14,16517,17403,66.06,64.76,1.3,52.79,51.92,17627,61
11,15,16307,17256,62.75,61.51,1.24,56.11,55.2,17446,41
11,16,16576,17430,62.49,61.27,1.22,58.4,57.42,17632,58
11,17,18038,18563,81.32,80.79,1.63,85.54,83.97,18774,65
11,18,18685,19711,101.49,100.88,2.04,101.41,99.26,19961,65
11,19,18551,19618,95.21,95.24,1.91,71.12,69.73,19859,41
11,20,18399,19076,89.2,89.14,1.77,67.85,66.53,19313,54
11,21,17817,18373,79.91,78.35,1.56,59.45,58.24,18592,56
11,22,16210,17160,72.31,70.91,1.4,44.65,43.81,17354,58
11,23,14706,15769,66.2,65.25,1.28,37.55,36.84,15931,55.4
11,24,13822,14387,57.98,56.86,1.12,28.51,27.99,14526,42
12,1,12899,13544,54.32,53.22,1.1,40.42,39.74,13678,59.07
12,2,12581,13157,49.56,48.56,1,41.32,40.7,13325,42.37
12,3,12496,12991,48.21,47.23,0.98,37.8,37.25,13178,67
12,4,12511,12960,48.21,47.23,0.98,41.13,40.52,13141,50
12,5,12834,13262,52.04,50.98,1.06,41.5,40.87,13471,56
12,6,13570,14371,61.8,60.56,1.27,58.23,57.35,14560,52.55
12,7,15716,16459,71.11,69.64,1.47,73.63,72.47,16594,43.5
12,8,17181,17831,78.39,76.78,1.61,59.62,58.39,17988,42.05
12,9,17462,18251,78.36,76.76,1.6,62.45,61.07,18476,42.06
12,10,17769,18379,78.63,77.03,1.6,68.2,66.64,18610,45
12,11,17858,18456,78.65,77.05,1.6,76.99,75.18,18685,58
12,12,17363,18354,75.61,74.51,1.56,67.84,66.29,18518,47
12,13,17095,18132,74.03,72.09,1.5,62.2,60.82,18317,50
12,14,16990,17937,71,69.55,1.45,63.67,62.28,18185,58
12,15,16899,17773,68.75,67.34,1.41,55.15,53.99,18046,51
12,16,16940,17884,68.91,67.49,1.42,52.67,51.59,18095,63
12,17,18419,18831,87.34,85.53,1.81,75.83,74.17,19057,54.96
12,18,19123,20003,107.14,104.93,2.21,76.18,74.6,20171,62.59
12,19,19104,19868,104.32,102.12,2.15,59.26,58.07,20071,56.87
12,20,18681,19341,95.05,92.19,1.93,58.8,57.48,19585,47.96
12,21,18116,18552,80,78.37,1.63,50.94,49.77,18829,40.64
12,22,16890,17271,74.47,72.94,1.51,44.41,43.35,17592,53
12,23,14656,15569,69.78,70.16,1.44,29.36,28.68,15866,48.48
12,24,13229,14132,56.83,55.68,1.15,39.62,38.75,14347,57.67
13,1,12259,13211,47.32,46.32,1,30.4,29.74,13373,51.97
13,2,12125,12791,43.51,42.58,0.93,41.19,40.37,12939,61
13,3,12025,12585,41.5,40.61,0.89,48.57,47.61,12711,40.84
13,4,12022,12567,41.84,40.94,0.9,41.57,40.77,12737,41.2
13,5,12022,12890,44.98,44.02,0.97,24.56,24.06,13043,58
13,6,13186,14048,51.73,50.64,1.1,45.43,44.42,14240,47.05
13,7,15672,16360,69.61,68.12,1.49,68.8,67.14,16573,45.07
13,8,16978,17784,70.42,69.97,1.51,81.33,79.29,17995,44.06
13,9,17340,18009,70.75,70.26,1.51,73.89,72.06,18234,43.63
13,10,17432,18023,70.41,69.83,1.51,71.32,69.45,18241,49
13,11,17480,18026,70.5,70.05,1.51,70.81,68.89,18258,41
13,12,17018,17786,66.13,64.73,1.4,70.41,68.56,17997,58
13,13,16810,17514,64.37,63.01,1.36,69.64,67.81,17729,59
13,14,16620,17398,62.25,60.94,1.31,60.59,59.05,17606,41
13,15,16562,17337,61.28,59.98,1.3,58.21,56.77,17546,54
13,16,16672,17573,61.8,60.48,1.32,63.42,61.84,17772,46
13,17,18221,18598,78.39,77.82,1.7,81.65,79.66,18814,59
13,18,19070,20192,100.26,99.14,2.17,99.75,97.2,20339,42.89
13,19,19184,20358,94.13,93.44,2.04,109.05,106.35,20609,42.12
13,20,19193,20086,82.35,82.08,1.79,104.67,102.18,20347,47
13,21,18288,19552,72.54,71.97,1.56,113.73,111.22,19799,62
13,22,17136,18487,66.13,64.73,1.4,72.75,71.04,18702,54
13,23,15335,16971,55.92,54.75,1.17,61.14,59.62,17179,53
13,24,13695,15684,53.36,52.24,1.13,63.6,62.14,15859,49.3
14,1,13970,14887,65.2,63.76,1.44,93.67,91.32,15021,60.49
14,2,13731,14580,63.63,62.2,1.43,100.68,98.1,14717,48
14,3,13711,14503,62.2,60.81,1.39,76.17,74.31,14730,40
14,4,13735,14577,62.2,60.8,1.4,78.05,76.15,14811,52
14,5,13980,14983,65.54,64.07,1.47,70.76,69.02,15222,54
14,6,14432,16231,67.43,65.91,1.49,114.35,111.67,16455,63
14,7,16464,18616,92.21,90.18,2.03,161.78,158.29,18828,48.87
14,8,17579,20001,109,111.56,2.51,190.29,186.37,20231,55.94
14,9,17666,20158,112.45,114.65,2.55,175.33,171.15,20367,49.32
14,10,17518,20258,115,116.88,2.61,239.23,233.66,20480,48
14,11,17058,20264,136.06,133.09,2.97,235.59,229.81,20493,64
14,12,16952,20151,136.06,133.1,2.96,204.86,199.56,20407,48
14,13,16875,19950,125.55,122.81,2.74,252.23,245.33,20206,42.4
14,14,16774,19831,125.55,122.82,2.73,233.51,227.24,20063,42.4
14,15,16696,19620,120.82,118.19,2.63,189.44,184.6,19857,43.59
14,16,16752,19770,120.82,118.19,2.63,210.03,204.78,20011,46.97
14,17,17642,20825,146.84,145.17,3.23,543.76,530.6,21101,62
14,18,18118,22217,160.39,158.88,3.53,920.29,896.79,22477,50
14,19,18143,22150,156.92,155.83,3.46,279.22,271.82,22419,67
14,20,17998,21644,155.36,153.64,3.41,212.98,207.82,21837,46.86
14,21,17726,20903,146.92,147.01,3.25,191.22,186.68,21103,63.71
14,22,16448,19616,117.78,119.5,2.63,159.97,156.26,19820,47.17
14,23,15607,17952,100.68,98.51,2.17,106.52,103.97,18158,40.73
14,24,14452,16506,75.36,73.72,1.64,77.81,76.05,16721,45.3
15,1,14337,15597,164.19,160.46,3.72,94.31,92.07,15787,40
15,2,13831,15153,131.28,128.3,2.98,69.91,68.14,15358,44
15,3,13810,14980,131.28,128.29,2.99,67.19,65.5,15191,59
15,4,13783,14979,131.28,128.29,2.99,67.87,66.15,15201,59
15,5,13902,15289,155.1,151.55,3.54,101.53,98.9,15525,56
15,6,14848,16424,184.26,180.03,4.22,203.05,197.71,16639,50
15,7,16651,18579,274.92,268.69,6.21,353.78,344.57,18777,60
15,8,17297,19961,341.95,334.26,7.66,302.36,294.71,20176,48
15,9,17425,20343,341.95,334.32,7.6,266.94,260.24,20549,47
15,10,17518,20398,350,342.2,7.77,155.18,151.25,20616,48
15,11,17694,20406,350.22,342.42,7.77,134.14,130.7,20651,45
15,12,17740,20228,360.87,352.86,7.98,141.31,137.74,20466,40
15,13,17538,19943,350,342.22,7.76,93.41,91.13,20180,40
15,14,17326,19757,341.95,334.36,7.57,121.81,118.82,20014,45
15,15,17282,19606,307.62,300.79,6.81,107.66,105,19854,57
15,16,17409,19755,316.54,309.5,7.02,136.46,133.07,20004,54
15,17,18171,20798,375,366.64,8.33,223.66,217.98,21152,59
15,18,19040,22426,514.51,524.36,11.93,259.41,252.79,22682,64
15,19,19114,22563,520.08,529.21,12.03,256.81,250.62,22818,61
15,20,18881,22205,511.85,507.23,11.5,377.8,367.94,22440,52
15,21,18309,21559,384.56,376.02,8.51,182.85,178.35,21786,55
15,22,17393,20483,331.55,324.23,7.3,107.23,104.77,20686,41
15,23,16134,18997,263.22,257.36,5.85,103.01,100.43,19159,58
15,24,15141,17663,200,195.5,4.49,100.6,97.93,17822,45
16,1,15271,16716,100.73,98.42,2.31,73.78,71.96,16926,43
16,2,14933,16301,88.08,86.06,2.02,76.36,74.56,16516,67
16,3,14860,16117,80.68,78.83,1.85,61.49,60.18,16275,42
16,4,14903,16079,80.68,78.83,1.85,92.75,90.77,16304,51.02
16,5,15378,16350,89.51,87.46,2.05,110.19,107.78,16550,65.62
16,6,15978,17320,102.78,100.41,2.37,157.97,154.59,17510,46
16,7,17272,19081,151.36,152.79,3.54,186.29,182.47,19243,53
16,8,18621,20381,158.4,169.44,3.91,189.37,185.56,20577,47
16,9,18685,21001,169.96,179.13,4.11,190.16,185.8,21239,52
16,10,18642,21292,172.39,181.15,4.16,194.57,189.22,21534,51
16,11,18691,21385,169.24,167.64,3.83,182.05,176.95,21665,47
16,12,18934,21207,161.79,172.39,3.95,160.22,147.88,21475,44
16,13,18692,20808,158.37,169.5,3.89,141,132.99,21082,67
16,14,18562,20456,152.89,154.08,3.53,134.92,128.19,20716,62
16,15,18293,20078,146.16,148.5,3.41,114.11,108.78,20333,40
16,16,18347,19909,140.3,143.67,3.29,85.27,83.24,20188,49
16,17,18959,20556,158.04,158.32,3.64,129.79,126.69,20746,48
16,18,20017,21698,202,205.59,4.74,132.42,128.96,21931,45
16,19,20031,21510,208.8,211.33,4.85,80.27,78.36,21806,57
16,20,19507,20893,200.62,204.57,4.69,107.68,105.13,21136,51
16,21,19061,20186,158.04,158.37,3.62,72.81,71.15,20432,64
16,22,17858,19196,141.04,141.51,3.23,73.24,71.5,19408,45
16,23,16814,17868,112.8,110.26,2.54,61.86,60.28,18071,61
16,24,15599,16564,100.41,98.13,2.28,58.47,57.01,16778,46
17,1,14137,15547,69.94,69.2,1.67,64.62,63.1,15819,43
17,2,13804,15002,69.39,67.75,1.64,80.98,79.11,15254,54
17,3,13764,14709,65.45,63.91,1.54,80.98,79.11,14884,66.06
17,4,13765,14556,65.45,63.9,1.55,80.98,79.11,14733,66.06
17,5,13822,14573,68.16,66.55,1.61,80.98,79.11,14787,60
17,6,13861,14967,69.91,68.25,1.66,71.97,70.33,15161,52
